OID_,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,GEOID_Data
,23,015,975700,1,230159757001,Block Group 1,G5030,S,33944699.000000000000000,20369615.000000000000000,+43.8932110,-069.5665949,0.448705490194000,0.006085660258390,15000US230159757001
,23,015,975800,3,230159758003,Block Group 3,G5030,S,9065192.000000000000000,20767067.000000000000000,+43.8198903,-069.5919724,0.415886292774000,0.003337292489310,15000US230159758003
,23,015,975300,2,230159753002,Block Group 2,G5030,S,15307344.000000000000000,3458313.000000000000000,+44.0795205,-069.4706624,0.265424747389000,0.002108547752140,15000US230159753002
,23,015,975800,2,230159758002,Block Group 2,G5030,S,18319995.000000000000000,4357159.000000000000000,+43.8866094,-069.6030483,0.230247102097000,0.002540254366370,15000US230159758002
,23,015,975400,2,230159754002,Block Group 2,G5030,S,75245160.000000000000000,9108003.000000000000000,+44.0522769,-069.5675223,0.461286310604000,0.009472780571620,15000US230159754002
,23,015,975300,4,230159753004,Block Group 4,G5030,S,14932827.000000000000000,2705904.000000000000000,+44.0223510,-069.4907559,0.200186527810000,0.001979914806410,15000US230159753004
,23,015,975600,6,230159756006,Block Group 6,G5030,S,34780946.000000000000000,1738979.000000000000000,+43.9672653,-069.5014336,0.322205795254000,0.004096128359990,15000US230159756006
,23,015,975800,1,230159758001,Block Group 1,G5030,S,29419801.000000000000000,10438407.000000000000000,+43.9016288,-069.6437987,0.291189675086000,0.004465372304770,15000US230159758001
,23,015,975300,3,230159753003,Block Group 3,G5030,S,17271688.000000000000000,3193909.000000000000000,+44.0465939,-069.4821806,0.261098776989000,0.002298209486610,15000US230159753003
,23,015,975300,1,230159753001,Block Group 1,G5030,S,33720550.000000000000000,7367816.000000000000000,+44.1137966,-069.4878761,0.382251540116000,0.004619515406460,15000US230159753001
,23,015,975400,3,230159754003,Block Group 3,G5030,S,46808028.000000000000000,7015203.000000000000000,+43.9759894,-069.6109523,0.364282624221000,0.006036342225050,15000US230159754003